0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/images/before/bg.gif HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:37 +0800] "GET /Shop/images/before/bj1.gif HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:39 +0800] "GET /Shop/index2 HTTP/1.1" 200 15782
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:40 +0800] "GET /Shop/getAddressInfo HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:41 +0800] "GET /Shop/goodsDetail?id=31 HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:41 +0800] "GET /Shop/images/before/goods_ann2.gif HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:41 +0800] "GET /Shop/images/before/anniu14.gif HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:45 +0800] "POST /Shop/cart/putCart HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:47 +0800] "GET /Shop/index2 HTTP/1.1" 200 15782
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:47 +0800] "GET /Shop/getAddressInfo HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:49 +0800] "GET /Shop/cart/selectCart HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:49 +0800] "GET /Shop/images/before/sc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:51 +0800] "GET /Shop/index2 HTTP/1.1" 200 15782
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:11:51 +0800] "GET /Shop/getAddressInfo HTTP/1.1" 200 540
